filename,module_name,module_params,execution_time,query_expansion_retrieval_f1,query_expansion_retrieval_ndcg,query_expansion_retrieval_map,is_best
0.parquet,pass_query_expansion,{},2.5107942778488685e-05,0.12539184952978055,0.43578716716681165,0.3552545155993432,False
1.parquet,query_decompose,"{'generator_module_type': 'llama_index_llm', 'llm': 'openai', 'model': 'gpt-4o-mini', 'temperature': 0.1}",0.48394306774797113,0.11285266457680249,0.566276915752998,0.35374931581828134,False
2.parquet,query_decompose,"{'generator_module_type': 'llama_index_llm', 'llm': 'openai', 'model': 'gpt-4o-mini', 'temperature': 0.4}",0.21114810581864982,0.08777429467084638,0.43659966819672724,0.22423371647509577,False
3.parquet,query_decompose,"{'generator_module_type': 'llama_index_llm', 'llm': 'openai', 'model': 'gpt-4o-mini', 'temperature': 0.3}",0.25485670155492324,0.10031347962382443,0.54497239327176,0.2997536945812808,False
4.parquet,query_decompose,"{'generator_module_type': 'llama_index_llm', 'llm': 'openai', 'model': 'gpt-4o-mini', 'temperature': 0.2}",0.3423386524463522,0.10031347962382443,0.5576876375085259,0.3200807334428024,False
5.parquet,query_decompose,"{'generator_module_type': 'llama_index_llm', 'llm': 'openai', 'model': 'gpt-4o-mini', 'temperature': 0.5}",0.23028365496931405,0.10031347962382443,0.5590273450909428,0.3141443167305237,False
6.parquet,query_decompose,"{'generator_module_type': 'llama_index_llm', 'llm': 'openai', 'model': 'gpt-4o-mini', 'temperature': 0.6}",0.2142897885421227,0.10031347962382442,0.4373372486905844,0.27241379310344827,False
7.parquet,query_decompose,"{'generator_module_type': 'llama_index_llm', 'llm': 'openai', 'model': 'gpt-4o-mini', 'temperature': 0.7}",0.19893327252618198,0.10658307210031347,0.46081652771065684,0.2478653530377668,False
8.parquet,query_decompose,"{'generator_module_type': 'llama_index_llm', 'llm': 'openai', 'model': 'gpt-4o-mini', 'temperature': 0.8}",0.1835286206212537,0.10658307210031347,0.538890931556966,0.32785987958401747,False
9.parquet,query_decompose,"{'generator_module_type': 'llama_index_llm', 'llm': 'openai', 'model': 'gpt-4o-mini', 'temperature': 0.9}",0.14513865832624764,0.11285266457680249,0.6095150700869726,0.3426382047071702,True
10.parquet,query_decompose,"{'generator_module_type': 'llama_index_llm', 'llm': 'openai', 'model': 'gpt-4o-mini', 'temperature': 1.0}",0.1939443802011424,0.10658307210031345,0.5194063994357488,0.2899288451012589,False
11.parquet,hyde,"{'generator_module_type': 'llama_index_llm', 'llm': 'openai', 'model': 'gpt-4o-mini', 'max_token': 64}",0.3767784463948217,0.10031347962382442,0.26897658023230625,0.18709633278598795,False
